source_airport,destination_airport,lat_src,lon_src,lat_dst,lon_dst
JFK,LAX,40.6413,-74.0060,33.9425,-118.4081
JFK,ORD,40.6413,-74.0060,41.8819,-87.6278
ORD,LAX,41.8819,-87.6278,33.9425,-118.4081
LAX,SFO,33.9425,-118.4081,37.6213,-122.3790
SFO,JFK,37.6213,-122.3790,40.6413,-74.0060
ATL,MIA,33.6407,-84.4277,25.7907,-80.2870
ATL,JFK,33.6407,-84.4277,40.6413,-74.0060
MIA,LAX,25.7907,-80.2870,33.9425,-118.4081
DEN,SFO,39.8561,-104.6737,37.6213,-122.3790
DEN,LAX,39.8561,-104.6737,33.9425,-118.4081
Delhi,Mumbai,28.7041,77.1025,19.0760,72.8777
Delhi,Bengaluru,28.7041,77.1025,12.9716,77.5946
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707
Delhi,Hyderabad,28.7041,77.1025,17.3850,78.4867
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639
Delhi,Pune,28.7041,77.1025,18.5204,73.8567
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873
Delhi,Chandigarh,28.7041,77.1025,30.7333,76.7794
Mumbai,Delhi,19.0760,72.8777,28.7041,77.1025
Mumbai,Bengaluru,19.0760,72.8777,12.9716,77.5946
Mumbai,Chennai,19.0760,72.8777,13.0827,80.2707
Mumbai,Hyderabad,19.0760,72.8777,17.3850,78.4867
Mumbai,Pune,19.0760,72.8777,18.5204,73.8567
Mumbai,Kolkata,19.0760,72.8777,22.5726,88.3639
Mumbai,Surat,19.0760,72.8777,21.1702,72.8311
Mumbai,Indore,19.0760,72.8777,22.7196,75.8577
Bengaluru,Delhi,12.9716,77.5946,28.7041,77.1025
Bengaluru,Mumbai,12.9716,77.5946,19.0760,72.8777
Bengaluru,Chennai,12.9716,77.5946,13.0827,80.2707
Bengaluru,Hyderabad,12.9716,77.5946,17.3850,78.4867
Bengaluru,Pune,12.9716,77.5946,18.5204,73.8567
Chennai,Delhi,13.0827,80.2707,28.7041,77.1025
Chennai,Mumbai,13.0827,80.2707,19.0760,72.8777
Chennai,Bengaluru,13.0827,80.2707,12.9716,77.5946
Chennai,Hyderabad,13.0827,80.2707,17.3850,78.4867
Chennai,Kolkata,13.0827,80.2707,22.5726,88.3639
Hyderabad,Delhi,17.3850,78.4867,28.7041,77.1025
Hyderabad,Mumbai,17.3850,78.4867,19.0760,72.8777
Hyderabad,Bengaluru,17.3850,78.4867,12.9716,77.5946
Hyderabad,Chennai,17.3850,78.4867,13.0827,80.2707
Hyderabad,Kolkata,17.3850,78.4867,22.5726,88.3639
Kolkata,Delhi,22.5726,88.3639,28.7041,77.1025
Kolkata,Mumbai,22.5726,88.3639,19.0760,72.8777
Kolkata,Chennai,22.5726,88.3639,13.0827,80.2707
Kolkata,Hyderabad,22.5726,88.3639,17.3850,78.4867
Pune,Delhi,18.5204,73.8567,28.7041,77.1025
Pune,Mumbai,18.5204,73.8567,19.0760,72.8777
Pune,Bengaluru,18.5204,73.8567,12.9716,77.5946
Pune,Hyderabad,18.5204,73.8567,17.3850,78.4867
Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025
Jaipur,Mumbai,26.9124,75.7873,19.0760,72.8777
Chandigarh,Delhi,30.7333,76.7794,28.7041,77.1025
Chandigarh,Mumbai,30.7333,76.7794,19.0760,72.8777
Indore,Mumbai,22.7196,75.8577,19.0760,72.8777
Indore,Delhi,22.7196,75.8577,28.7041,77.1025
Amritsar,Delhi,31.6340,74.8723,28.7041,77.1025
Surat,Mumbai,21.1702,72.8311,19.0760,72.8777
Nagpur,Mumbai,21.1458,79.0882,19.0760,72.8777
Nagpur,Hyderabad,21.1458,79.0882,17.3850,78.4867
Goa,Mumbai,15.3910,73.8250,19.0760,72.8777
Lucknow,Delhi,26.8467,80.9462,28.7041,77.1025
Lucknow,Mumbai,26.8467,80.9462,19.0760,72.8777
Kanpur,Delhi,26.4499,80.3319,28.7041,77.1025
Patna,Kolkata,25.5941,85.1376,22.5726,88.3639
Kochi,Mumbai,9.7674,76.7186,19.0760,72.8777
Kochi,Bengaluru,9.7674,76.7186,12.9716,77.5946
Trivandrum,Kochi,8.4881,76.8945,9.7674,76.7186
Trivandrum,Bengaluru,8.4881,76.8945,12.9716,77.5946
