WarehouseName,VehicleType,VehicleCapacity,DepartureTime
delhi,Truck,2000,08:30
delhi,Truck,1800,09:15
delhi,Truck,1950,07:45
delhi,Van,600,08:00
delhi,Van,700,09:30
delhi,Car,300,10:00
delhi,Car,280,11:00
delhi,Auto,350,15:40
delhi,Auto,320,16:30
delhi,Bike,120,12:15
delhi,Bike,100,13:00
mumbai,Truck,1900,09:10
mumbai,Truck,2050,08:00
mumbai,Truck,1850,10:00
mumbai,Truck,1000,08:30
mumbai,Van,650,09:00
mumbai,Van,700,10:15
mumbai,Car,280,11:45
mumbai,Car,320,12:30
mumbai,Auto,330,17:00
mumbai,Auto,350,18:00
mumbai,Bike,110,14:20
mumbai,Bike,130,15:45
bengaluru,Truck,1800,07:50
bengaluru,Truck,1800,08:00
bengaluru,Car,290,09:30
bengaluru,Bike,115,13:10
bengaluru,Auto,340,16:30
chennai,Truck,1700,08:00
chennai,Car,270,10:20
chennai,Bike,105,13:45
chennai,Auto,320,17:10
pune,Truck,1800,08:40
pune,Truck,1800,08:40
hyderabad,Truck,1500,08:40
hyderabad,Truck,1500,08:40
hyderabad,Truck,1500,08:40
hyderabad,Car,285,11:00
hyderabad,Bike,112,14:00
hyderabad,Auto,335,18:00
kolkata,Truck,1650,09:00
kolkata,Car,260,11:30
kolkata,Bike,100,15:10
kolkata,Auto,310,18:20
ahmedabad,Truck,1600,07:45
ahmedabad,Car,250,10:10
ahmedabad,Bike,98,13:30
ahmedabad,Auto,300,16:50
dubai,Truck,2200,08:15
dubai,Van,900,10:45
dubai,Bike,150,13:00
dubai,Truck,2100,17:30
singapore,Truck,2000,07:30
singapore,Van,850,09:45
singapore,Bike,140,12:30
singapore,Truck,1950,16:00
london,Truck,2300,08:00
london,Van,950,10:30
london,Bike,160,13:15
london,Truck,2250,18:00
frankfurt,Truck,2400,07:40
frankfurt,Van,980,10:00
frankfurt,Bike,170,14:00
frankfurt,Truck,2350,17:45
new york,Truck,2500,08:20
new york,Van,1000,11:10
new york,Bike,180,14:30
new york,Truck,2450,19:00
tokyo,Truck,2100,07:50
tokyo,Van,880,10:15
tokyo,Bike,145,13:40
tokyo,Truck,2050,18:10
jaipur,Truck,1550,08:15
jaipur,Truck,1600,09:00
jaipur,Van,620,10:00
jaipur,Car,265,11:15
chandigarh,Truck,1700,07:30
chandigarh,Truck,1650,08:45
chandigarh,Van,680,09:30
chandigarh,Car,275,12:00
amritsar,Truck,1400,08:00
amritsar,Van,550,09:15
amritsar,Car,240,11:00
goa,Truck,1550,09:00
goa,Van,600,10:30
goa,Car,280,12:15
nagpur,Truck,1650,08:30
nagpur,Van,620,09:45
nagpur,Car,270,11:30
indore,Truck,1750,07:45
indore,Truck,1800,08:30
indore,Van,640,09:15
indore,Car,290,12:00
indore,Auto,345,16:00
surat,Truck,1600,08:00
surat,Van,610,09:30
surat,Car,260,11:00
lucknow,Truck,1550,08:15
lucknow,Van,600,09:45
lucknow,Car,265,11:30
kanpur,Truck,1500,08:00
kanpur,Van,580,10:00
kanpur,Car,250,12:15
patna,Truck,1400,07:45
patna,Van,560,09:30
patna,Car,240,11:00
kochi,Truck,1600,08:30
kochi,Van,620,10:00
kochi,Car,275,12:30
trivandrum,Truck,1550,08:00
trivandrum,Van,610,09:45
trivandrum,Car,250,11:30
delhi,Plane,8000,08:00
delhi,Plane,7500,12:30
mumbai,Plane,9000,09:00
mumbai,Plane,8500,14:45
bengaluru,Plane,8200,07:30
bengaluru,Plane,7800,15:00
chennai,Plane,7500,08:30
chennai,Plane,7200,16:15
hyderabad,Plane,8100,09:15
hyderabad,Plane,7900,17:00
kolkata,Plane,8300,08:45
kolkata,Plane,8000,15:30
pune,Plane,8300,08:00
pune,Plane,7900,16:00
jaipur,Plane,8400,09:30
jaipur,Plane,8000,15:45
chandigarh,Plane,8150,10:15
chandigarh,Plane,7750,17:00
dubai,Plane,10000,10:00
dubai,Plane,9500,18:00
singapore,Plane,9800,07:00
singapore,Plane,9200,16:30
london,Plane,11000,09:30
london,Plane,10500,17:45
frankfurt,Plane,10800,10:45
frankfurt,Plane,10200,18:30
new york,Plane,12000,11:00
new york,Plane,11500,19:00
tokyo,Plane,9500,08:15
tokyo,Plane,9000,17:30
delhi,Truck,2100,10:00
delhi,Truck,2200,11:30
delhi,Van,750,10:30
mumbai,Truck,2000,11:00
mumbai,Truck,2100,12:15
mumbai,Van,800,12:00
bengaluru,Truck,1900,09:30
bengaluru,Truck,2000,10:45
bengaluru,Van,750,10:00
pune,Truck,1900,09:30
pune,Truck,2000,10:45
pune,Van,750,10:00
indore,Truck,1900,09:30
indore,Truck,2000,10:45
indore,Truck,2100,12:00
indore,Van,700,10:30
indore,Van,750,12:00
indore,Car,300,13:00
hyderabad,Truck,1600,09:30
hyderabad,Truck,1700,10:45
nagpur,Truck,1700,09:00
nagpur,Truck,1800,10:30
nagpur,Van,650,10:15
kolkata,Truck,1700,09:15
kolkata,Truck,1800,10:30
surat,Truck,1700,09:00
surat,Truck,1800,10:30
surat,Van,700,10:00
jaipur,Truck,1700,09:15
jaipur,Truck,1800,10:30
chandigarh,Truck,1800,08:15
chandigarh,Truck,1900,09:30
ahmedabad,Truck,1700,08:30
ahmedabad,Truck,1800,09:45
goa,Truck,1600,09:30
goa,Truck,1700,10:45
kochi,Truck,1700,09:00
kochi,Truck,1800,10:15
trivandrum,Truck,1600,08:30
trivandrum,Truck,1700,09:45
